Name,Score
Intel Atom Z3735E @ 1.33GHz,557
Intel Core2 Duo T5250 @ 1.50GHz,557
Intel Pentium T2370 @ 1.73GHz,557
Intel Celeron N2830 @ 2.16GHz,545
Intel Core i3-330UM @ 1.20GHz,543
Intel Pentium T2390 @ 1.86GHz,543
Intel Pentium T2310 @ 1.46GHz,542
AMD E1-6010 APU,541
Intel Atom Z3735F @ 1.33GHz,540
Intel Celeron U3600 @ 1.20GHz,539
Intel Core2 Duo U7300 @ 1.30GHz,536
Intel Core2 Duo L7300 @ 1.40GHz,536
AMD Turion 64 X2 Mobile TL-52,536
Intel Core2 Duo SU9400 @ 1.40GHz,536
AMD TurionX2 Dual Core Mobile RM-70,536
Intel Pentium U5400 @ 1.20GHz,535
Intel Pentium T2330 @ 1.60GHz,533
Intel Core2 Duo T5300 @ 1.73GHz,530
AMD Athlon II Neo K345 Dual-Core,527
AMD Athlon 64 X2 QL-62,525
Intel Celeron U3400 @ 1.07GHz,516
Intel Core2 Duo L7400 @ 1.50GHz,516
Intel Atom D2701 @ 2.13GHz,515
Intel Celeron 847 @ 1.10GHz,509
Intel Celeron N2820 @ 2.13GHz,508
Intel Pentium SU4100 @ 1.30GHz,506
AMD Turion X2 Ultra Dual-Core Mobile ZM-80,506
Intel Core Duo T2700 @ 2.33GHz,498
AMD Turion X2 Dual Core Mobile RM-70,497
Intel Celeron N2807 @ 1.58GHz,497
Intel Atom Z3736F @ 1.33GHz,496
AMD E2-2000 APU,496
Intel Celeron N2815 @ 1.86GHz,495
Intel Celeron N2808 @ 1.58GHz,490
Intel Atom Z3770D @ 1.49GHz,488
AMD Athlon II Neo N36L Dual-Core,487
AMD E-350D APU,486
Intel Celeron N2806 @ 1.60GHz,486
AMD Turion 64 X2 Mobile TL-50,486
AMD Turion 64 X2 Mobile TL-58,485
AMD G-T56N,484
Intel Atom E3827 @ 1.74GHz,480
AMD Turion 64 X2 Mobile TL-56,480
Intel Core2 Duo U9300 @ 1.20GHz,476
AMD E1-2200 APU,474
AMD TurionX2 Dual Core Mobile RM-72,471
Intel Core2 Duo T5200 @ 1.60GHz,470
AMD Turion Neo X2 Dual Core L625,468
Intel Core2 Duo L7100 @ 1.20GHz,467
Intel Celeron B720 @ 1.70GHz,462
Intel Core Duo T2600 @ 2.16GHz,460
Intel Celeron SU2300 @ 1.20GHz,458
Intel Celeron 925 @ 2.30GHz,450
Intel Core2 Duo T5270 @ 1.40GHz,449
Intel Celeron U3405 @ 1.07GHz,446
Intel Atom N2800 @ 1.86GHz,444
AMD G-T56E,442
AMD Athlon II Neo K325 Dual-Core,439
AMD E-450 APU,439
VIA Nano L3600@2000MHz,436
AMD E-350,430
AMD G-T48E,423
AMD E-350 APU,423
AMD V140,422
AMD A4-1250 APU,421
Intel Core2 Duo U7700 @ 1.33GHz,420
Intel Core Duo T2450 @ 2.00GHz,411
Intel Celeron 900 @ 2.20GHz,409
Intel Core2 Duo U7500 @ 1.06GHz,408
Intel Core Duo T2500 @ 2.00GHz,408
AMD E1-2100 APU,406
Intel Core i7-2630UM @ 1.60GHz,400
AMD Turion 64 Mobile ML-42,400
Intel Celeron N2810 @ 2.00GHz,396
Intel Celeron 807 @ 1.50GHz,392
AMD V120,390
AMD E1-1500 APU,385
Intel Core Duo T2350 @ 1.86GHz,385
AMD Turion 64 Mobile ML-44,384
Intel Pentium T2130 @ 1.86GHz,382
AMD E1-1200 APU,381
Intel Core2 Duo L7200 @ 1.33GHz,380
VIA Nano L3050@1800MHz,378
AMD A4-1200 APU,375
Mobile Intel Pentium 4 3.46GHz,374
Mobile AMD Athlon XP,372
Intel Celeron 827E @ 1.40GHz,371
Intel Core Duo T2400 @ 1.83GHz,366
AMD Turion 64 Mobile MK-38,362
Intel Atom N570 @ 1.66GHz,360
AMD V160,360
Mobile AMD Athlon 64 3700+,356
VIA Nano X2 U4025 @ 1.2 GHz,353
AMD Athlon X2 Dual Core L310,353
Intel Celeron M 540 @ 1.86GHz,353
Intel Core Duo T2250 @ 1.73GHz,350
AMD Turion 64 Mobile MT-40,349
Intel Core Duo L2400 @ 1.66GHz,348
Intel Core2 Duo U7600 @ 1.20GHz,347
Intel Core Duo L2500 @ 1.83GHz,345
Intel Atom N2600 @ 1.60GHz,344
Intel Celeron 570 @ 2.26GHz,344
Mobile Intel Pentium 4 3.33GHz,344
Intel Pentium T2080 @ 1.73GHz,341
VIA Nano U3100 (1.6GHz Capable),339
Intel Celeron 560 @ 2.13GHz,339
AMD E-300 APU,338
VIA Nano L3025@1600MHz,336
AMD Turion 64 Mobile ML-40,336
Intel Celeron N2805 @ 1.46GHz,335
Mobile AMD Sempron 3800+,335
Intel Atom E3826 @ 1.46GHz,334
AMD Turion 64 Mobile ML-37,334
Intel Celeron 550 @ 2.00GHz,334
AMD Turion 64 Mobile MK-36,334
Mobile AMD Athlon XP-M,333
Mobile AMD Athlon 64 3400+,333
Intel Pentium T2060 @ 1.60GHz,330
Mobile AMD Athlon XP-M (LV),330
Mobile AMD Athlon XP-M (LV) 3200+,329
Mobile AMD Athlon 64 3200+,326
Intel Core Duo T2300 @ 1.66GHz,325
Mobile AMD Athlon MP-M 2800+,323
AMD Athlon II Neo K125,322
Intel Celeron M 530 @ 1.73GHz,320
AMD Turion 64 Mobile ML-34,319
Mobile AMD Athlon XP-M 3200+,317
AMD C-60 APU,316
AMD C-70 APU,315
Mobile AMD Athlon 64 4000+,313
Mobile AMD Athlon XP-M (LV) 2800+,309
Intel Celeron 540 @ 1.86GHz,305
Intel Atom N550 @ 1.50GHz,304
Intel Atom Z2760 @ 1.80GHz,298
AMD G-T40N,298
AMD Athlon II Neo K145,298
Mobile AMD Sempron 3300+,294
Mobile AMD Athlon 64 3000+,293
Intel Pentium M 2.10GHz,292
AMD G-T40E,289
AMD Sempron SI-40,288
Mobile AMD Athlon 64 2800+,287
Mobile AMD Athlon XP-M 3100+,286
AMD Turion 64 Mobile MT-32,286
AMD Turion 64 Mobile ML-32,285
Mobile AMD Sempron 3600+,284
AMD Sempron M120,281
Intel Pentium M 1.80GHz,280
VIA Nano L2100@1800MHz,279
AMD Turion 64 Mobile MT-34,279
VIA Nano U3300@1200MHz,277
AMD Turion 64 Mobile ML-30,277
Mobile AMD Sempron 3100+,277
Intel Celeron 743 @ 1.30GHz,275
AMD Turion 64 Mobile MT-37,274
AMD Turion 64 Mobile MT-28,273
Intel Core2 Solo U3500 @ 1.40GHz,272
Intel Pentium M 2.00GHz,270
Mobile AMD Sempron 3000+,269
Mobile AMD Sempron 3400+,269
Mobile AMD Sempron 3500+,269
Intel Celeron 530 @ 1.73GHz,268
Intel Celeron M 723 @ 1.20GHz,267
AMD C-50,262
AMD Z-60 APU,262
Intel Pentium M 756 @ 1.66GHz,260
Mobile AMD Athlon 64 2700+,259
Mobile AMD Sempron 2600+,256
Intel Core Duo U2400 @ 1.06GHz,255
AMD Turion 64 Mobile ML-28,254
Intel Core Solo T1400 @ 1.83GHz,253
Intel Celeron M 1.70GHz,252
Intel Pentium SU2700 @ 1.30GHz,252
AMD GX-210JA SOC,248
Intel Atom Z550 @ 2.00GHz,248
Mobile AMD Athlon MP-M 2000+,246
AMD Turion 64 Mobile MT-30,246
Intel Core2 Solo U3300 @ 1.20GHz,245
Mobile AMD Sempron 3200+,245
AMD Sempron SI-42,245
Mobile AMD Athlon XP-M (LV) 2200+,243
Mobile AMD Athlon 2500+,241
Mobile AMD Athlon XP-M 2600+,241
Intel Celeron 807UE @ 1.00GHz,241
Intel Pentium M 1.50GHz,240
Intel Pentium M 1.70GHz,239
Intel Celeron M 520 @ 1.60GHz,239
VIA Nano L2007@1600MHz,238
Mobile AMD Athlon XP-M 3000+,238
Mobile AMD Athlon XP-M 2800+,238
Mobile AMD Sempron 2800+,237
Intel Pentium M 1700MHz,237
Mobile AMD Athlon XP-M 2200+,237
Intel Pentium M 2.13GHz,234
Intel Core2 Solo U2100 @ 1.06GHz,233
Mobile AMD Athlon 4 2400+,233
Intel Celeron M 450 @ 2.00GHz,230
Intel Atom Z540 @ 1.86GHz,227
Intel Pentium M 2.26GHz,227
Mobile AMD Athlon XP-M 2500+,226
Intel Pentium M 1.40GHz,225
Mobile AMD Athlon XP-M 2400+,225
Intel Atom N470 @ 1.83GHz,224
Intel Core Duo U2500 @ 1.20GHz,223
Mobile AMD Athlon XP-M 1900+,223
Intel Pentium M 1.86GHz,222
Intel Celeron M 360 1.40GHz,221
Mobile AMD Athlon XP-M (LV) 2000+,218
Intel Celeron M 1500MHz,217
Intel Celeron 723 @ 1.20GHz,213
Mobile AMD Athlon XP-M 1700+,210
Intel Core Solo T1300 @ 1.66GHz,210
Intel Pentium M 1400MHz,208
Mobile AMD Athlon 4,205
Intel Celeron M 1.30GHz,205
Intel Pentium M 1.73GHz,205
Mobile Intel Pentium 4 - M 2.60GHz,204
Intel Core2 Solo U2200 @ 1.20GHz,203
Intel Atom N450 @ 1.66GHz,200
VIA Nano U2500@1200MHz,199
Intel Pentium M 1.20GHz,199
Intel Pentium M 1300MHz,197
Intel Celeron M 1300MHz,197
Intel Pentium M 1.30GHz,196
Mobile AMD Athlon XP-M 2000+,196
AMD E-240,195
Intel Core Solo T1350 @ 1.86GHz,194
Intel Pentium M 1.60GHz,194
Mobile AMD Athlon XP-M (LV) 1600+,193
Intel Atom N2100 @ 1.60GHz,193
Mobile AMD Athlon XP-M 1800+,193
Intel Pentium M 1600MHz,193
Mobile Intel Celeron 1200MHz,192
Mobile AMD Athlon MP-M 2400+,192
Intel Celeron M 1.50GHz,192
Intel Celeron M 1.60GHz,190
Mobile AMD Athlon XP-M (LV) 1500+,188
Mobile Intel Pentium III - M 1133MHz,188
Mobile Intel Pentium III - M 1333MHz,188
Intel Pentium M 1500MHz,188
Intel Atom N455 @ 1.66GHz,188
VIA Nano U2250 (1.6GHz Capable),187
VIA C7 1500MHz,185
Intel Pentium M 1.10GHz,184
VIA Nano U3500@1000MHz,184
AMD V105,184
Mobile Intel Celeron 2.50GHz,183
Intel Atom Z530 @ 1.60GHz,183
Mobile Intel Celeron 1333MHz,183
Mobile Intel Pentium 4 2.30GHz,181
VIA Nano U2250@1300+MHz,179
Intel Atom N475 @ 1.83GHz,179
AMD C-30,178
Intel Atom E660 @ 1.30GHz,177
AMD G-T52R,177
Intel Celeron 215 @ 1.33GHz,174
Mobile AMD Athlon 1400+,173
Mobile AMD Athlon MP-M 1800+,173
Mobile AMD Athlon XP-M 1500+,170
Mobile AMD Athlon XP-M 1600+,169
Intel Celeron M 430 @ 1.73GHz,169
Intel Celeron M 440 @ 1.86GHz,169
Intel Pentium M 1100MHz,168
Mobile Intel Pentium 4 - M 2.50GHz,167
VIA Nano L2207@1600MHz,165
Mobile AMD Sempron 2100+,164
Intel Pentium III Mobile 1133MHz,164
Intel Core Solo U1500 @ 1.33GHz,164
Mobile Intel Pentium III - M 1000MHz,163
Intel Pentium III Mobile 1000MHz,160
Intel Pentium III Mobile 1066MHz,160
Intel Atom Z670 @ 1.50GHz,158
Intel Atom N280 @ 1.66GHz,157
Intel Pentium III Mobile 1200MHz,156
Intel Pentium M 1000MHz,156
Intel Pentium M 1200MHz,155
Mobile Intel Celeron 2.40GHz,154
Mobile Intel Pentium 4 - M 1.90GHz,151
Intel Celeron M 1.00GHz,149
Mobile Intel Celeron 2.20GHz,147
Mobile Intel Pentium III - M 1200MHz,146
VIA C7-M 6300MHz,145
Mobile Intel Pentium 4 - M 2.20GHz,143
Intel Atom Z515 @ 1.20GHz,142
Intel Pentium III Mobile 933MHz,142
Intel Pentium M 900MHz,141
Mobile Intel Pentium 4 - M 2.40GHz,139
Intel Celeron M 420 @ 1.60GHz,139
Mobile Intel Pentium III - M 866MHz,138
Mobile Intel Pentium 4 - M 2.00GHz,138
Intel Pentium 4 Mobile 1.70GHz,136
Intel Atom N270 @ 1.60GHz,136
Intel Pentium 4 Mobile 1.90GHz,136
Mobile Intel Celeron 2.00GHz,133
Intel Pentium 4 Mobile 2.00GHz,132
Mobile Intel Pentium III - M 933MHz,130
Intel Core Solo U1400 @ 1.20GHz,130
Intel Pentium 4 Mobile 1.50GHz,129
Intel Atom Z510 @ 1.10GHz,127
Mobile Intel Pentium 4 - M 1.60GHz,127
Intel Core Solo U1300 @ 1.06GHz,127
Intel Celeron M 443 @ 1.20GHz,125
Mobile Intel Celeron 1.50GHz,123
Mobile Intel Celeron 1.60GHz,123
Intel Celeron M 900MHz,123
Intel Celeron M 410 @ 1.46GHz,123
Intel Atom Z520 @ 1.33GHz,122
Mobile Intel Celeron 1.80GHz,121
Mobile Intel Pentium 4 - M 1.70GHz,121
Intel Celeron M ULV 800MHz,120
Mobile AMD Athlon XP-M 1400+,120
AMD G-T40R,120
Intel Pentium III Mobile 800MHz,119
Mobile Intel Pentium 4 - M 1.80GHz,119
Mobile Intel Celeron 1.70GHz,118
VIA C7-M 1600MHz,116
Intel Pentium 4 Mobile 1.60GHz,116
AMD G-T44R,116
Intel Pentium 4 Mobile 1.80GHz,114
VIA C7-M 1200MHz,112
Mobile Intel Celeron 1.20GHz,111
VIA C7-M 1000MHz,107
Intel Celeron B710 @ 1.60GHz,106
Intel Pentium III Mobile 866MHz,99
Intel Celeron M 600MHz,98
Intel Pentium 4 Mobile 1.40GHz,97
VIA Eden 1200MHz,93
VIA Eden 1000MHz,80
Intel Pentium III Mobile 750MHz,67
VIA C3 Ezra,65
