Name,Score
Intel Core i9-8950HK @ 2.90GHz,10336
Intel Core i3-1215U,10188
Intel Core i7-1265UE,10183
Intel Core i7-9750HF @ 2.60GHz,10175
Intel Core i3-12100TE,10146
Intel Core i7-8850H @ 2.60GHz,10054
Intel Core i7-1185G7 @ 3.00GHz,9940
Intel Core i7-1165G7 @ 2.80GHz,9801
Intel Core i7-1185G7E @ 2.80GHz,9787
Intel Core i7-8750H @ 2.20GHz,9748
Intel Core i5-9500TE @ 2.20GHz,9731
Intel Core i7-9700TE @ 1.80GHz,9720
Intel Core i7-11390H @ 3.40GHz,9696
AMD Ryzen 5 40,9657
Intel Core i5-1155G7 @ 2.50GHz,9604
Intel Core i3-1210U,9525
Intel Core i3-N305,9488
Intel Core i5-9400F @ 2.90GHz,9462
AMD Ryzen 3 PRO 4450U,9375
Intel Core i5-1135G7 @ 2.40GHz,9354
AMD Ryzen 3 5300U,9330
CIX P1 CD8180,9277
Intel Core i3-1125G4 @ 2.00GHz,9253
Intel Core i5-1145G7 @ 2.60GHz,9219
Intel Core i7-10710U @ 1.10GHz,9184
Intel Core i7-1068NG7 @ 2.30GHz,9171
AMD Ryzen 3 30,9055
Intel Pentium Gold 8505,9043
Intel Core i5-10500TE @ 2.30GHz,8970
AMD Ryzen 5 7520U,8950
Intel Core i5-8500B @ 3.00GHz,8827
Intel Core i5-1038NG7 @ 2.00GHz,8755
Intel Core i7-1160G7 @ 1.20GHz,8729
Intel U300,8696
Intel Core i3-1305U,8544
AMD Ryzen 3 7320U,8521
Intel Core i7-8809G @ 3.10GHz,8442
AMD Ryzen Embedded V1807B,8259
AMD Athlon Gold PRO 4150GE,8259
Intel Core i5-1130G7 @ 1.10GHz,8241
Intel Core i7-8559U @ 2.70GHz,8241
AMD Ryzen 3 7320C,8193
Intel Core i5-10400H @ 2.60GHz,8192
Intel Core i5-10300H @ 2.50GHz,8191
AMD Ryzen 7 2800H,8170
Intel Core i7-8569U @ 2.80GHz,8160
Intel Core i3-N300,8118
Intel Core i7-1065G7 @ 1.30GHz,8110
Intel Core i7-10810U @ 1.10GHz,8009
AMD Ryzen 5 2600H,8002
Intel Core i5-10200H @ 2.40GHz,7962
Intel Core i5-1035G7 @ 1.20GHz,7956
AMD Ryzen 7 3750H,7939
Intel Core i7-8709G @ 3.10GHz,7934
Intel Core i7-9850HL @ 1.90GHz,7897
Intel Xeon E3-1535M v6 @ 3.10GHz,7894
Intel Core i7-1180G7 @ 1.30GHz,7833
Intel Core i5-8259U @ 2.30GHz,7811
Intel Core i5-9400H @ 2.50GHz,7809
AMD Ryzen 5 3550U,7681
Intel Core i7-5950HQ @ 2.90GHz,7667
AMD Ryzen 5 3550H,7637
Intel Xeon E3-1545M v5 @ 2.90GHz,7620
Intel Core i7-8705G @ 3.10GHz,7619
Intel Core i5-1035G4 @ 1.10GHz,7602
Intel Core i5-8400H @ 2.50GHz,7515
Intel Xeon E3-1535M v5 @ 2.90GHz,7511
Intel Core i7-8706G @ 3.10GHz,7492
AMD Ryzen 7 3780U,7444
Intel Core i5-8279U @ 2.40GHz,7427
Intel Core i5-9300H @ 2.40GHz,7415
Intel Core i7-7820HK @ 2.90GHz,7404
Intel Core i5-8257U @ 1.40GHz,7394
Intel Core i5-8300H @ 2.30GHz,7362
AMD Ryzen 3 4300U,7362
Intel Core i3-10100T @ 3.00GHz,7322
Intel Core i7-8557U @ 1.70GHz,7281
Intel Core i7-7920HQ @ 3.10GHz,7266
Intel Core i5-8260U @ 1.60GHz,7261
Intel Core i7-6920HQ @ 2.90GHz,7248
AMD Ryzen 5 Microsoft Surface Edition,7243
Intel Core i5-9300HF @ 2.40GHz,7226
AMD Ryzen 7 PRO 3700U,7182
AMD Ryzen 5 3580U,7179
Intel Core i7-7820HQ @ 2.90GHz,7154
Intel Core i5-1035G1 @ 1.00GHz,7144
Intel Core i5-8269U @ 2.60GHz,7111
Intel Core i7-7820EQ @ 3.00GHz,7061
Intel Core i7-6770HQ @ 2.60GHz,7036
